# Constructed from biom file
#OTU ID	RS101_S1	RS102_S13	RS103_S25	RS104_S37	RS105_S49	RS106_S61	RS107_S73	RS108_S85	RS109_S2	RS110_S14	RS111_S26	RS112_S38	RS113_S50	RS114_S62	RS115_S74	RS116_S86	RS117_S3	RS118_S15	RS119_S27	RS120_S39	RS121_S51	RS122_S63	RS123_S75	RS124_S87	RS125_S4	RS236_S146	RS237_S102	RS238_S109	RS239_S116	RS240_S123	RS241_S129	RS242_S135	RS243_S141	RS244_S147	RS245_S103	RS246_S110	RS247_S117	RS382_S39	RS383_S51	RS384_S63	RS385_S75	RS386_S87	RS387_S99	RS388_S111	RS389_S28	RS390_S40	RS391_S52	RS392_S64	RS393_S76	RS394_S88	RS395_S100	RS396_S112	RS397_S1	RS398_S2	RS399_S3	RS400_S4	RS401_S5	RS402_S6	RS403_S7	RS404_S8	RS405_S9	RS406_S10	RS407_S11	RS408_S12	RS409_S13	RS410_S14	RS411_S15	RS412_S16
b2591cce5ffe1822d6b15c69f733339a	1488.0	5779.0	247.0	1397.0	8130.0	17385.0	18454.0	286.0	13543.0	1052.0	510.0	730.0	472.0	57.0	577.0	78.0	0.0	0.0	0.0	0.0	99.0	234.0	141.0	561.0	579.0	77.0	388.0	0.0	0.0	0.0	106.0	269.0	0.0	0.0	0.0	0.0	1273.0	2013.0	2055.0	4131.0	743.0	5396.0	20158.0	31809.0	15297.0	11910.0	2536.0	1953.0	869.0	1037.0	1766.0	4119.0	0.0	0.0	0.0	67.0	0.0	416.0	524.0	346.0	102.0	0.0	613.0	1970.0	467.0	0.0	0.0	0.0
782bf01823a440669af25d0765e3ceff	446.0	2018.0	146.0	396.0	3217.0	2407.0	3169.0	83.0	1410.0	161.0	3022.0	4217.0	2276.0	92.0	3638.0	1498.0	955.0	846.0	705.0	1037.0	209.0	641.0	446.0	346.0	946.0	149.0	156.0	353.0	24.0	522.0	158.0	119.0	220.0	43.0	472.0	0.0	121.0	1001.0	702.0	1144.0	318.0	2245.0	3801.0	3497.0	2111.0	2554.0	415.0	5312.0	6385.0	9003.0	7227.0	11627.0	530.0	1262.0	759.0	2246.0	2806.0	1050.0	806.0	1397.0	435.0	37.0	344.0	628.0	97.0	136.0	0.0	0.0
89f197ffc839b71842fe0719d829f279	0.0	30.0	8.0	0.0	128.0	8838.0	7029.0	98.0	1090.0	52.0	134.0	789.0	2760.0	31.0	41.0	0.0	0.0	0.0	0.0	0.0	622.0	1543.0	1188.0	3595.0	6236.0	0.0	60.0	53.0	19.0	43.0	0.0	50.0	39.0	16.0	27.0	0.0	264.0	0.0	73.0	21.0	0.0	54.0	6218.0	14111.0	2180.0	3087.0	717.0	1566.0	1186.0	1948.0	14737.0	1941.0	0.0	0.0	0.0	0.0	0.0	5102.0	1931.0	1351.0	1218.0	142.0	11.0	0.0	174.0	22.0	0.0	0.0
8371ae22405278bf6a3cd9af60485c89	4.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	9.0	0.0	11.0	0.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4483.0	5276.0	8231.0	6612.0	10175.0	6068.0	4215.0	5301.0	3508.0	8129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	8.0	9.0	9.0	0.0	10.0	11.0	0.0	0.0	0.0	0.0	0.0	2.0	4.0	5.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
558ee871cf5637a396f29054235ac3c7	37.0	1999.0	0.0	0.0	4.0	23.0	41.0	318.0	741.0	8.0	0.0	7002.0	925.0	1137.0	210.0	284.0	0.0	0.0	0.0	0.0	6706.0	3817.0	317.0	299.0	3516.0	0.0	74.0	17.0	0.0	0.0	0.0	57.0	7.0	0.0	0.0	0.0	332.0	184.0	0.0	6.0	81.0	475.0	36.0	18.0	8357.0	490.0	14.0	17.0	1124.0	12.0	433.0	15.0	0.0	4.0	0.0	0.0	6.0	1995.0	5576.0	396.0	10288.0	506.0	0.0	6.0	478.0	828.0	0.0	8.0
c83e2f427453d8918612acfb9123e149	23.0	231.0	11.0	13.0	510.0	108.0	171.0	17.0	201.0	0.0	1084.0	1675.0	12924.0	126.0	157.0	25.0	6.0	8.0	10.0	0.0	195.0	273.0	543.0	68.0	888.0	0.0	0.0	45.0	3.0	6.0	0.0	0.0	29.0	2.0	5.0	0.0	0.0	110.0	38.0	34.0	25.0	99.0	682.0	329.0	82.0	237.0	25.0	4254.0	2968.0	332.0	19623.0	3306.0	6.0	25.0	5.0	0.0	10.0	1773.0	795.0	1437.0	141.0	36.0	23.0	24.0	24.0	82.0	0.0	6.0
da9f23ac0f3da78bd30f993a0ca12e65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3350.0	3984.0	3701.0	3652.0	2777.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3393.0	13980.0	3657.0	6664.0	8275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
eef3c0408245ebef58158cdcaf8e9c5f	63.0	11775.0	330.0	209.0	141.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8169.0	0.0	24.0	0.0	0.0	10587.0	0.0	24.0	0.0	0.0	0.0	0.0	17767.0	723.0	299.0	102.0	798.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	674.0	283.0	0.0	0.0	0.0	0.0
13aa9aaab768c350edfb184eff8182a4	732.0	0.0	12.0	0.0	11640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5553.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	19781.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	7597.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0
f218cd4fab6170f69ec3ddcec56749ee	77.0	7.0	0.0	0.0	65.0	0.0	0.0	0.0	6898.0	36229.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	1358.0	0.0	0.0	31.0	0.0	0.0	261.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
