#SampleID	SampleName	PlotOrder	SampleType	Station	TypeStationGroup	OysterNum	Mass_g	Width_mm	Length_mm	DermoConc	DermoIndex	Ammonium_uM	phosphate_uM	nitrite_uM	nitrite_nitrate_uM	Salinity_morn	Salinity_eve	Salinity_avg	Temp_morn	Temp_eve	Temp_avg	pH_morn	pH_eve	pH_avg	Chl_ugL_morn	Chl_ugL_eve	Chl_ugL_avg	DO_mgL_morn	DO_mgL_eve	DO_mgL_avg	HistoAccessionNumber	HistoSex	GonadalStatus 	DigestiveDiverticulaAtrophyLevel 	Necrosis	PerivascularInflammation 	HistoDermo
#q2:types	categorical	numeric	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	categorical	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical	numeric	numeric	numeric	numeric	numeric
RS101_S1	1.PVD.3	3	gut	1.PVD	gut_1.PVD	3	105.55	67	100	29875.03	Medium	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD03	M	6	2	1	1	2
RS102_S13	1.PVD.4	4	gut	1.PVD	gut_1.PVD	4	114.25	62	108	278.59	Low	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD04	F	8	1	1	2	1
RS103_S25	1.PVD.5	5	gut	1.PVD	gut_1.PVD	5	108.65	69	100	5.53	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD05	F	5	0	0	1	0
RS104_S37	1.PVD.6	7	gut	1.PVD	gut_1.PVD	6	79.2	62	82	0.91	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD06	M	6	0	0	1	0
RS105_S49	1.PVD.8	10	gut	1.PVD	gut_1.PVD	8	117.62	66	104	6	None	7.56	3.74	0.65	10.32	26.33	23.35	24.84	22.48	23.55	23.01	7.44	7.41	7.42	5.31	10.96	8.13	3.88	5.93	4.9	RI17PVD08	M	6	2	0	0	0
RS106_S61	2.GB.1	13	gut	2.GB	gut_2.GB	1	142.54	72	99	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB01	ND	1	3	1	2	0
RS107_S73	2.GB.2	14	gut	2.GB	gut_2.GB	2	70.63	61	78	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB02	F	5	1	1	2	0
RS108_S85	2.GB.5	17	gut	2.GB	gut_2.GB	5	71.51	52	72	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB05	M	2	3	1	2	0
RS109_S2	2.GB.6	19	gut	2.GB	gut_2.GB	6	118.54	64	97	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB06	F	6	2	0	1	0
RS110_S14	2.GB.7	20	gut	2.GB	gut_2.GB	7	76.82	60	89	0	None	5.64	1.59	0	1.85	28.31	28.63	28.47	23.41	25.22	24.31	7.27	7.58	7.43	24.05	13.5	18.78	3.49	7.83	5.66	RI17GB07	F	1	2	1	2	0
RS111_S26	3.BIS.3	26	gut	3.BIS	gut_3.BIS	3	129.97	72	91	16700	Medium	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS03	F	6	1	0	1	1
RS112_S38	3.BIS.4	27	gut	3.BIS	gut_3.BIS	4	339	59	152	71.75	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS04	M	8	3	2	2	0
RS113_S50	3.BIS.7	30	gut	3.BIS	gut_3.BIS	7	259	62	125	3290	Low	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS07	M	4	2	0	0	0
RS114_S62	3.BIS.9	32	gut	3.BIS	gut_3.BIS	9	157	59	88	28850	Medium	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS09	ND	1	2	1	2	2
RS115_S74	3.BIS.10	34	gut	3.BIS	gut_3.BIS	10	113	71	88	1269500	High	45.77	0.66	0.1	2.2	30.43	30.62	30.52	21.65	23.76	22.71	7.84	7.88	7.86	6.82	2.91	4.87	7.53	8.92	8.23	RI17BIS10	F	2	1	1	3	3
RS116_S86	4.NAR.1	35	gut	4.NAR	gut_4.NAR	1	48	44	89	1405	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR01	ND	1	1	0	0	0
RS117_S3	4.NAR.2	36	gut	4.NAR	gut_4.NAR	2	52	53	72	9490	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR02	F	2	3	0	0	0
RS118_S15	4.NAR.6	40	gut	4.NAR	gut_4.NAR	6	29	38	67	4325	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR06	M	4	3	0	1	0
RS119_S27	4.NAR.7	41	gut	4.NAR	gut_4.NAR	7	48	46	69	34.1	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR07	F	1	1	0	1	0
RS120_S39	4.NAR.9	43	gut	4.NAR	gut_4.NAR	9	45	38	67	8150	Low	1.55	0.09	0	2.25	18.26	17.72	17.99	25.64	25.21	25.42	7.43	7.72	7.57	5.56	3.69	4.62	5.58	8.33	6.96	RI17NAR09	F	1	3	1	1	0
